"slide"	"analysis"	"file"	"Field"	"ObjectNo"	"PositionX_m"	"PositionY_m"	"normalisedDepth"	"layer"	"ctxdepthInterval"	"area"	"channel"	"spotcounts"	"genes"	"cell.id"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	560	9	-4201.08	-24461.82	0.123700391770234	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	17	"Chrdl1"	"009H_M8b_E2_Astrocytes_560_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	1	-5020.78	-24194.43	0.154818868108621	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	2	-5096.2	-24213.11	0.176734326210019	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	4	-5085.96	-24222.03	0.182948682928697	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	25	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_4"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	7	-5021.65	-24328.47	0.261230790312956	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	33	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_7"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	9	-5135.65	-24397.35	0.327788521417806	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	58	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	563	13	-5034.31	-24433.99	0.345830153821436	"L4"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	43	"Chrdl1"	"009H_M8b_E2_Astrocytes_563_13"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	9	-5095.47	-16762.42	0.17569872800046	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	28	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_9"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	10	-4882.49	-16806.49	0.165616265781811	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	30	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_10"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	11	-4889.4	-16854.94	0.199996812069201	"L2-3"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	35	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_11"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	284	12	-5036.92	-16857.51	0.231266142597778	"L2-3"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	20	"Chrdl1"	"009H_M8b_E2_Astrocytes_284_12"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	1	-4230.4	-25020.52	0.492872672319659	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	31	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_1"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	2	-4270.72	-25029.5	0.516222928896182	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	29	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_2"
"009H"	"P56cor-CTXsbf-sastv20_009H_Astrocytes.tsv"	"009H_M8b_E2_Astrocytes"	608	4	-4190.16	-25068	0.503186395150861	"L4"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	29	"Chrdl1"	"009H_M8b_E2_Astrocytes_608_4"
