"slide"	"analysis"	"file"	"Field"	"ObjectNo"	"PositionX_m"	"PositionY_m"	"normalisedDepth"	"segmentation"	"celltype"	"ctxdepthInterval"	"area"	"channel"	"spotcounts"	"genes"	"cell.id"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	1	12	-1652.08	-18727.45	0.471191243220216	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	41	"Igfbp2"	"00NE_M3_E1_1_12"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	1	13	-1492.34	-18740.39	0.347837924134138	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	66	"Igfbp2"	"00NE_M3_E1_1_13"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	3	8	-2148.7	-18662.66	0.856733453315772	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	26	"Igfbp2"	"00NE_M3_E1_3_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	3	9	-2169.14	-18725.84	0.855195428019114	"CTX S-BF L6"	"Astrocytes"	"5"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	27	"Igfbp2"	"00NE_M3_E1_3_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	4	13	-1802.58	-18726.65	0.585039534305837	"CTX S-BF L5"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	21	"Igfbp2"	"00NE_M3_E1_4_13"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	4	14	-1653.23	-18727.56	0.47204280015991	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	53	"Igfbp2"	"00NE_M3_E1_4_14"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	1	-1325.66	-18771.91	0.216037180674859	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	37	"Igfbp2"	"00NE_M3_E1_5_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	4	-1309.92	-18817.08	0.195783875345252	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	14	"Igfbp2"	"00NE_M3_E1_5_4"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	5	-1272.53	-18836.22	0.163912555338555	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	25	"Igfbp2"	"00NE_M3_E1_5_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	6	-1293.94	-18875.51	0.172507020440688	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	39	"Igfbp2"	"00NE_M3_E1_5_6"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	8	-1293.54	-18945.26	0.158365586440799	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	24	"Igfbp2"	"00NE_M3_E1_5_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	5	9	-1334.59	-18976.45	0.182676094338237	"CTX S-BF L2-3"	"Astrocytes"	"1"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	53	"Igfbp2"	"00NE_M3_E1_5_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	1	-1470.76	-18781.58	0.324025037984343	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	64	"Igfbp2"	"00NE_M3_E1_6_1"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	2	-1410.22	-18790.49	0.276586392690872	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	62	"Igfbp2"	"00NE_M3_E1_6_2"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	5	-1588.66	-18837.08	0.401519832301937	"CTX S-BF L2-3"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	46	"Igfbp2"	"00NE_M3_E1_6_5"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	6	-1348.72	-18855.34	0.217736046127021	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	42	"Igfbp2"	"00NE_M3_E1_6_6"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	7	-1629.56	-18882.13	0.421796686081505	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	73	"Igfbp2"	"00NE_M3_E1_6_7"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	8	-1593.23	-18931.95	0.38389229721364	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	54	"Igfbp2"	"00NE_M3_E1_6_8"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	9	-1436.98	-18965.77	0.261014275998322	"CTX S-BF L2-3"	"Astrocytes"	"2"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	95	"Igfbp2"	"00NE_M3_E1_6_9"
"00NE"	"P56cor2-CTXsbf-sastv21_00NE_Astrocytes.tsv"	"00NE_M3_E1"	6	10	-1651.13	-18973.89	0.417197377182494	"CTX S-BF L4"	"Astrocytes"	"3"	"CTX S-BF"	"Astrocytes_NumberOfSpots520_PerCell"	57	"Igfbp2"	"00NE_M3_E1_6_10"
