Bin1	Bin2	Bin3	Bin4	Bin5	genes	q_value	p_value
0.00041069	0.0003091	0.00039163	0.00033711	0.00034669	Eif2s3y	0.636484958297892	0.83046
0.00011969	0.00011688	7.6526e-05	0.00011218	8.0926e-05	Rabep1	0.497977282633508	0.37351
2.943e-05	1.5038e-05	3.498e-05	4.1962e-05	3.519e-05	Mapk1ip1l	0.161463396595214	0.019256
4.0033e-05	4.1926e-05	2.4342e-05	4.0862e-05	4.0072e-05	Ankhd1	0.598958051199509	0.6935
8.4441e-05	5.4691e-05	9.1064e-05	8.5492e-05	9.4723e-05	Ssfa2	0.536446143334269	0.48022
0.00022851	0.00026514	0.00026197	0.00025219	0.00021651	Gpr19	0.234958395635204	0.048565
3.8057e-05	4.085e-05	5.501e-05	3.4588e-05	1.9248e-05	Dyrk1a	0.13383274749048	0.012896
0.00021207	0.0002414	0.00023275	0.0002133	0.00022408	Chka	0.428098575489714	0.22266
9.778e-05	9.267e-05	0.00012615	8.7782e-05	9.6626e-05	Chkb	0.397058514783905	0.18439
3.7396e-05	4.1692e-05	6.2645e-05	5.7189e-05	4.9078e-05	Thyn1	0.146208741168208	0.01548
0.00016642	0.00011099	0.0001603	0.00017416	0.0002238	Gpr37	0.244625579645173	0.052501
0.00028648	0.00033382	0.00032442	0.00028583	0.00026688	Mras	0.398983347998444	0.18677
0.00012793	0.00011316	9.5525e-05	9.2061e-05	9.0484e-05	Chn1	0.63316073720896	0.81649
4.7312e-05	3.4161e-05	3.2383e-05	6.0062e-05	3.2084e-05	Bccip	0.439573190476384	0.25035
1.1317e-06	1.2597e-06	9.257e-07	8.6589e-07	8.6306e-07	Gm11808	0.604116779385025	0.7177
2.2289e-07	3.6974e-07	2.561e-07	3.3511e-07	3.2091e-07	Gm11814	0.255544166734304	0.057759
9.3486e-05	0.00010065	9.9049e-05	9.7847e-05	6.3561e-05	Necap1	0.338971655653838	0.12047
0.00012474	0.00012929	0.00016405	0.00014877	0.00013131	Necap2	0.295736189829458	0.082587
0.00010237	8.1679e-05	0.00011536	0.00011701	9.2076e-05	Chp1	0.451784989605874	0.27101
0.00010002	0.00011083	0.00011459	0.00011075	0.00010537	Mpdu1	0.605910667488518	0.72602
9.9753e-06	1.3148e-05	4.7308e-06	6.039e-06	8.7861e-06	RP23-468H22.7	0.540616115114742	0.50598
0.00014562	0.00020012	0.00018884	0.00011943	0.00012737	Chpf	0.124361796444541	0.010007
0.00023629	0.00026039	0.00027488	0.00021223	0.0001714	Tnik	0.464510190651252	0.29232
4.2877e-05	4.4298e-05	5.3356e-05	3.7671e-05	3.5732e-05	Tnk2	0.481677257842561	0.33206
8.6275e-05	7.4513e-05	0.00011379	0.00010027	0.00011291	Papola	0.216516666304447	0.036978
0.00016598	0.00015506	0.00017426	0.00015944	0.00014469	Gprc5b	0.591965560590028	0.66738
0.00010013	5.1004e-05	0.00010653	8.2307e-05	7.696e-05	1700020I14Rik	0.356275394781712	0.13895
5.8e-05	6.8002e-05	4.9676e-05	9.9273e-05	8.5104e-05	Rbbp4	0.209458480373618	0.03476
4.9757e-05	3.3373e-05	6.6787e-05	4.0941e-05	3.8859e-05	Rbbp6	0.660445282177767	0.92154
0.00018266	0.000194	0.00016287	0.00019382	0.00020306	Rbbp7	0.539561481127996	0.4934
0.00014643	0.00016349	0.00011597	0.000147	0.00015412	Rbbp9	0.547096451145565	0.52499
2.6905e-05	3.0618e-05	2.2786e-05	2.4029e-05	2.2618e-05	1700003M07Rik	0.10061629343066	0.0065533
0.00014492	0.00014156	0.00015231	0.00013427	0.00015242	Cox7a2	0.594615252020507	0.6818
0.00083258	0.00086059	0.00084179	0.00083206	0.0007719	Slc48a1	0.588732834712606	0.6575
6.8605e-05	5.9148e-05	4.6175e-05	8.5112e-05	7.2171e-05	Ccar1	0.605910667488518	0.72623
0.00012194	0.00010059	0.00011432	0.00010873	0.00010865	Acer3	0.531086878342443	0.45855
0.00017179	0.00018122	0.00017746	0.00020789	0.00014501	Chuk	0.565378409531277	0.58229
0.00024788	0.00021958	0.00021792	0.00021072	0.000193	Ndufa10	0.561841741881105	0.56503
0.00013841	0.00013607	0.00013618	0.00012243	0.0001174	Ndufa11	0.56441996701663	0.57697
0.00015727	0.00014403	0.00015453	0.00017302	0.00015558	Ndufa12	0.66469917265621	0.94217
0.00019419	0.00017709	0.0001898	0.00019669	0.00017327	Ndufa13	0.40349078958048	0.1916
0.0015628	0.0016149	0.0015382	0.0015086	0.001851	Aqp4	0.167864366277734	0.020893
8.3072e-05	7.8345e-05	9.9269e-05	7.7991e-05	7.1982e-05	Zcchc7	0.547096451145565	0.52544
4.6577e-05	3.2333e-05	5.5389e-05	6.2579e-05	2.8745e-05	Zcchc8	0.179885948717363	0.024303
