Bin1,Bin2,Bin3,Bin4,Bin5,genes,q_value,p_value
0.00066763,0.00070051,0.00068237,0.0007875,0.00084612,Fads2,0.0125785196903309,0.0002469
0.00068401,0.0013716,0.0010914,0.00087088,0.00019226,Igfbp2,1.40999856418899e-52,4.1934e-56
6.5343e-06,6.3356e-06,5.7782e-06,5.4272e-06,5.2996e-06,Gm28437,0.0471680733019581,0.0017535
0.0015415,0.0019811,0.0019028,0.0017457,0.0012954,Btbd17,0.000637627528312042,5.1201e-06
7.5407e-05,8.3574e-05,0.00010997,6.9991e-05,4.0217e-05,Tnrc6a,0.0280556478435339,0.0008177
8.9529e-05,0.00012798,9.0003e-05,0.00016675,0.0001288,Sept9,0.0209869947704467,0.00053678
3.3683e-06,6.8876e-06,9.6552e-06,5.6505e-06,3.9171e-06,Gpr162,0.00514415731472961,7.3047e-05
0.00017736,0.00029236,0.00027247,0.00023512,0.00021038,Fzd9,0.0158089223601137,0.00037143
9.3358e-05,5.083e-05,6.6868e-05,0.00010509,0.0001914,Papss2,0.00434937452704927,5.3726e-05
0.00025624,0.00032457,0.00051578,0.00045897,0.00043461,Cyr61,0.00387183036834935,4.3757e-05
0.00080592,0.00099105,0.00096518,0.00074488,0.00059836,Atp1b1,0.0151723890519197,0.00034745
0.0004455,0.0011225,0.00089384,0.00033224,0.00011877,Chrdl1,3.30133922419251e-35,2.9455e-38
3.3486e-05,6.0191e-05,5.0631e-05,4.7814e-05,2.0672e-05,Atp2b2,0.0224613527674344,0.00061457
0.00064195,0.00070097,0.00066409,0.00065642,0.00048007,Hmgn3,0.00650312434834147,9.8637e-05
2.6282e-05,4.0579e-05,4.501e-05,4.4588e-05,3.693e-05,Nrarp,0.00351282352955708,3.8655e-05
7.5494e-05,0.00013928,0.00012704,9.6148e-05,4.9564e-05,Nupr1,0.00140184228608532,1.4592e-05
9.7297e-05,0.00014545,0.00017318,0.00010102,0.00010628,Cmtm3,0.0357325627169019,0.0011796
0.002221,0.0028657,0.0026946,0.002393,0.0018555,Slco1c1,0.00434937452704927,5.4328e-05
0.011749,0.010109,0.0090465,0.0099496,0.012872,Cst3,1.23031066589581e-06,5.8544e-09
0.00052674,0.00042274,0.00042602,0.00047119,0.00065411,Nkain4,0.00438147207786307,5.6032e-05
0.0013136,0.0016976,0.0015517,0.0013579,0.0013667,Scg3,0.0134749111603648,0.00027251
8.0242e-05,9.0259e-05,0.000101,0.00016237,0.00010557,Lrig1,0.0471680733019581,0.0017456
0.00014637,0.00015757,0.0001583,0.00013478,7.0871e-05,Lgr6,0.0354277140245285,0.0011511
0.010598,0.010321,0.010298,0.010174,0.0090551,mt-Cytb,0.00909419542550141,0.00015687
0.0094917,0.011606,0.010816,0.010448,0.010765,Mfge8,0.00082117332417379,7.0824e-06
4.8929e-05,3.6633e-05,2.6052e-05,6.1923e-05,3.9553e-05,Baz1b,0.00557355277340503,8.288e-05
5.5038e-05,6.5264e-05,4.6888e-05,4.286e-05,3.0256e-05,Rgs7bp,0.0146610620009565,0.00032702
6.6082e-05,7.4985e-05,6.7663e-05,0.00010127,9.0656e-05,Slc25a42,0.0177211713745212,0.00044271
2.2899e-05,7.1971e-06,3.8268e-05,3.7112e-05,1.7785e-05,Hyou1,0.0220549100176458,0.00059689
0.0033697,0.0040624,0.0038391,0.0033752,0.0032589,Slc6a1,0.0243435903653998,0.00068779
0.00025864,9.115e-05,8.7404e-05,0.00020138,0.00050332,Agt,6.68967037289072e-08,2.5864e-10
0.00020104,2.8475e-05,0.00010279,0.00010715,0.00026235,Gfap,0.000733872890858401,6.1112e-06
0.0013809,0.0017975,0.0016772,0.0016157,0.0012181,Luzp2,0.000882173769010905,8.3956e-06
0.00024107,0.00063685,0.00034379,0.00024359,0.00010794,Eogt,5.47140235517624e-24,7.911e-27
0.00032781,0.00051837,0.00039316,0.00049741,0.00032244,Prelp,0.000882173769010905,8.1955e-06
7.8755e-05,8.1282e-05,0.0001168,8.6499e-05,9.949e-05,Ptges3,0.0417026698547175,0.0014511
0.00017026,0.00014123,0.00014985,0.00014432,0.0002655,Cd9,0.000850345630963373,7.5869e-06
0.014892,0.014269,0.013267,0.014349,0.016812,Clu,0.00514415731472961,7.3435e-05
1.1157e-05,2.2004e-05,1.8885e-05,1.4817e-05,1.1643e-05,Akt2-ps,1.546798753973e-05,9.2005e-08
0.00012025,0.00017642,0.00015622,0.00013585,0.00012822,Trap1,0.0389865665816385,0.0013334
6.978e-07,1.0681e-06,8.2456e-07,1.4793e-06,1.4268e-06,Gm20421,0.0468169597720548,0.0016889
0.0078869,0.0094788,0.0086101,0.0085704,0.0072015,Htra1,8.5984804284122e-05,5.6259e-07
0.0011565,0.0012348,0.0013659,0.0012165,0.00089785,Slc38a3,0.0418222762618129,0.0014677
0.00028189,0.00044483,0.00033428,0.00030933,0.00024068,Lrtm2,0.0114162274988445,0.0002139
0.00025313,0.00039378,0.00035737,0.0003035,0.00024936,Fam13c,0.00750010709814533,0.00011822
5.8236e-05,1.1279e-05,1.2203e-05,3.1098e-05,0.00011068,Id1,8.23298180388731e-06,4.6522e-08
